brand,description,mileage_from_odometer,model_date,price,vehicle_engine,vehicle_transmission,fuel_Diesel,fuel_Electric,fuel_Hybrid,fuel_Lpg,fuel_Petrol
MG,HS,6000,2021.0,6525000.0,1490.0,Automatic,0,0,0,0,1
Toyota,Aygo,68000,2012.0,1625000.0,1000.0,Manual,0,0,0,0,1
Honda,City,150000,2015.0,2550000.0,1300.0,Automatic,0,0,0,0,1
KIA,Sorento,18000,2022.0,9000000.0,3500.0,Automatic,0,0,0,0,1
Toyota,Corolla,110000,2015.0,3350000.0,1300.0,Automatic,0,0,0,0,1
Nissan,March,100000,2004.0,1050000.0,1000.0,Automatic,0,0,0,0,1
Honda,Civic,20500,2021.0,6275000.0,1800.0,Automatic,0,0,0,0,1
Suzuki,Cultus,25025,2008.0,1025000.0,1000.0,Manual,0,0,0,0,1
Honda,City,88000,2018.0,3150000.0,1300.0,Manual,0,0,0,0,1
Honda,Civic,70000,2018.0,4990000.0,1800.0,Automatic,0,0,0,0,1
Honda,Civic,107000,2004.0,1400000.0,1500.0,Manual,0,0,0,0,1
Honda,Civic,150000,2003.0,1360000.0,1600.0,Manual,0,0,0,0,1
Suzuki,Alto,21000,2022.0,2180000.0,660.0,Manual,0,0,0,0,1
Toyota,Corolla,82000,2010.0,2450000.0,1300.0,Manual,0,0,0,0,1
Honda,BR-V,112000,2017.0,3850000.0,1500.0,Automatic,0,0,0,0,1
Suzuki,Wagon,23000,2018.0,2250000.0,1000.0,Manual,0,0,0,0,1
Suzuki,Mehran,65000,2015.0,1150000.0,800.0,Manual,0,0,0,0,1
Suzuki,Alto,118000,2012.0,1150000.0,1000.0,Manual,0,0,0,0,1
Toyota,Aqua,119200,2015.0,3900000.0,1500.0,Automatic,0,0,1,0,0
Honda,City,43000,2019.0,3800000.0,1500.0,Automatic,0,0,0,0,1
Mercedes Benz,Benz,75000,2010.0,9500000.0,2000.0,Automatic,0,0,0,0,1
Range Rover,Rover,7000,2020.0,60000000.0,300.0,Automatic,0,0,0,0,1
Toyota,Corolla,180000,2013.0,2500000.0,1300.0,Manual,0,0,0,0,1
Suzuki,Alto,20000,2022.0,2600000.0,660.0,Automatic,0,0,0,0,1
Daihatsu,Move,1,2014.0,1950000.0,660.0,Automatic,0,0,0,0,1
Daihatsu,Mira,50000,2013.0,2150000.0,660.0,Automatic,0,0,0,0,1
Toyota,Vitz,175000,2007.0,1580000.0,1000.0,Automatic,0,0,0,0,1
Honda,Civic,220000,1999.0,1125000.0,1600.0,Manual,0,0,0,0,1
Toyota,Prius,80000,2010.0,4300000.0,1800.0,Automatic,0,0,0,0,1
Toyota,Corolla,126000,2013.0,265000.0,1300.0,Manual,0,0,0,0,1
Suzuki,Cultus,71000,2016.0,1680000.0,1000.0,Manual,0,0,0,0,1
Toyota,Hilux,100000,2013.0,5800000.0,2500.0,Automatic,1,0,0,0,0
Toyota,Passo,135000,2018.0,3800000.0,1000.0,Automatic,0,0,0,0,1
Mercedes Benz,Benz,39500,2014.0,34000000.0,3500.0,Automatic,0,0,0,0,1
Toyota,Yaris,33000,2021.0,4350000.0,1500.0,Automatic,0,0,0,0,1
Toyota,Corolla,43950,2019.0,4640000.0,1600.0,Automatic,0,0,0,0,1
MG,HS,8000,2021.0,6895000.0,1500.0,Automatic,0,0,0,0,1
Changan,Alsvin,18700,2021.0,3995000.0,1500.0,Automatic,0,0,0,0,1
BMW,3,81000,1997.0,1750000.0,1800.0,Automatic,0,0,0,0,1
Toyota,Prado,125000,2010.0,17000000.0,4000.0,Automatic,0,0,0,0,1
Toyota,Corolla,25,2023.0,7525000.0,1800.0,Automatic,0,0,0,0,1
Toyota,Vitz,134000,2014.0,2625000.0,1000.0,Automatic,0,0,0,0,1
Toyota,Yaris,19500,2021.0,3800000.0,1300.0,Manual,0,0,0,0,1
Toyota,Corolla,77300,2016.0,3200000.0,1600.0,Automatic,0,0,0,0,1
Honda,BR-V,148000,2020.0,4700000.0,1500.0,Automatic,0,0,0,0,1
Suzuki,Cultus,150000,2017.0,1585000.0,1000.0,Manual,0,0,0,0,1
Honda,City,14000,2022.0,5000000.0,1500.0,Automatic,0,0,0,0,1
Toyota,Corolla,27855,2019.0,4650000.0,1300.0,Automatic,0,0,0,0,1
Honda,HR-V,45,2023.0,7450000.0,1500.0,Automatic,0,0,0,0,1
Honda,City,60000,2016.0,2730000.0,1300.0,Manual,0,0,0,0,1
Toyota,Corolla,200000,2001.0,1170000.0,1300.0,Manual,0,0,0,0,1
Suzuki,Cultus,60000,2015.0,1170000.0,1000.0,Manual,0,0,0,0,1
Honda,Spike,123000,2012.0,2450000.0,1500.0,Automatic,0,0,1,0,0
Suzuki,Cultus,43900,2011.0,1080000.0,1000.0,Manual,0,0,0,0,1
Toyota,Corolla,6350,2022.0,7375000.0,1800.0,Automatic,0,0,0,0,1
Honda,City,14000,2021.0,4950000.0,1500.0,Automatic,0,0,0,0,1
Daihatsu,Charade,82255,1985.0,200000.0,1000.0,Manual,0,0,0,0,1
Toyota,Passo,91000,2013.0,2500000.0,1000.0,Automatic,0,0,0,0,1
Toyota,Corolla,10,2023.0,6450000.0,1600.0,Automatic,0,0,0,0,1
MG,HS,17000,2021.0,6150000.0,1500.0,Automatic,0,0,0,0,1
Honda,City,45286,2019.0,3120000.0,1300.0,Manual,0,0,0,0,1
Suzuki,Mehran,60000,2013.0,1080000.0,800.0,Manual,0,0,0,0,1
Honda,City,67000,2012.0,2425000.0,1300.0,Manual,0,0,0,0,1
Honda,Civic,115000,1999.0,1315000.0,1600.0,Manual,0,0,0,0,1
Suzuki,Mehran,60000,2018.0,1260000.0,800.0,Manual,0,0,0,0,1
Hyundai,Tucson,10,2023.0,7850000.0,2000.0,Automatic,0,0,0,0,1
Mazda,Flair,32000,2019.0,3175000.0,660.0,Automatic,0,0,0,0,1
Toyota,Corolla,84000,2016.0,3050000.0,1300.0,Automatic,0,0,0,0,1
Honda,City,60,2023.0,5490000.0,1500.0,Automatic,0,0,0,0,1
Toyota,Mark,76000,2011.0,11000000.0,3500.0,Automatic,0,0,0,0,1
Toyota,Crown,72000,2010.0,7500000.0,2500.0,Automatic,0,0,0,0,1
Toyota,Sienta,54000,2016.0,4800000.0,1500.0,Automatic,0,0,0,0,1
Suzuki,Wagon,36000,2018.0,3150000.0,660.0,Automatic,0,0,1,0,0
Honda,HR-V,1,2023.0,7525000.0,1500.0,Automatic,0,0,0,0,1
Honda,City,78000,2008.0,2050000.0,1300.0,Automatic,0,0,0,0,1
Toyota,Corolla,71091,2018.0,3600000.0,1600.0,Automatic,0,0,0,0,1
Nissan,Sunny,1987,1987.0,700000.0,2000.0,Manual,1,0,0,0,0
Toyota,Corolla,85000,2016.0,3150000.0,1300.0,Manual,0,0,0,0,1
Daihatsu,Charade,65000,1984.0,425000.0,1000.0,Manual,0,0,0,0,1
Suzuki,Alto,80000,2010.0,120000.0,1000.0,Manual,0,0,0,0,1
Toyota,Corolla,99,2022.0,6500000.0,1600.0,Automatic,0,0,0,0,1
Suzuki,Cultus,75000,2000.0,515000.0,1000.0,Manual,0,0,0,0,1
Toyota,Corolla,96200,2011.0,2300000.0,1300.0,Manual,0,0,0,0,1
Haval,H6,85,2023.0,10500000.0,2000.0,Automatic,0,0,0,0,1
Toyota,Prius,135000,2008.0,2520000.0,1500.0,Automatic,0,0,1,0,0
Hyundai,Elantra,6000,2022.0,5300000.0,1600.0,Automatic,0,0,0,0,1
Honda,Civic,122457,2014.0,3200000.0,1800.0,Automatic,0,0,0,0,1
Toyota,Corolla,90000,2008.0,2475000.0,1500.0,Automatic,0,0,0,0,1
Suzuki,Alto,45000,2019.0,2450000.0,660.0,Automatic,0,0,0,0,1
Honda,City,27500,2014.0,2685000.0,1300.0,Manual,0,0,0,0,1
Suzuki,Wagon,48000,2019.0,2160000.0,1000.0,Manual,0,0,0,0,1
Daihatsu,Mira,75000,2006.0,1100000.0,660.0,Automatic,0,0,0,0,1
Toyota,Corolla,100000,1982.0,320000.0,100.0,Manual,1,0,0,0,0
Honda,Civic,41000,2018.0,4350000.0,1800.0,Automatic,0,0,0,0,1
Toyota,Corolla,85000,2012.0,2250000.0,1300.0,Manual,0,0,0,0,1
Honda,Civic,149000,2013.0,2650000.0,1800.0,Automatic,0,0,0,0,1
Suzuki,Alto,17500,2018.0,2995000.0,660.0,Automatic,0,0,0,0,1
Toyota,Surf,265000,2003.0,4500000.0,3378.0,Automatic,0,0,0,0,1
Suzuki,Swift,22000,2018.0,4000000.0,1000.0,Automatic,0,0,0,0,1
Honda,Vezel,40001,2017.0,7200000.0,1500.0,Automatic,0,0,1,0,0
Toyota,Hilux,9500,2022.0,13350000.0,2800.0,Automatic,1,0,0,0,0
Honda,Jade,132696,2015.0,5500000.0,1500.0,Automatic,0,0,1,0,0
Toyota,Fortuner,13000,2019.0,12000000.0,2700.0,Automatic,0,0,0,0,1
Suzuki,Alto,123491,2007.0,540000.0,1000.0,Manual,0,0,0,0,1
Honda,City,94000,2014.0,2650000.0,1300.0,Automatic,0,0,0,0,1
Honda,City,74000,2014.0,2550000.0,1300.0,Manual,0,0,0,0,1
Toyota,Mark,147000,2004.0,4450000.0,2500.0,Automatic,0,0,0,0,1
Suzuki,Alto,98000,2015.0,2100000.0,660.0,Automatic,0,0,0,0,1
Toyota,Duet,100000,2003.0,1175000.0,1300.0,Automatic,0,0,0,0,1
Suzuki,Cultus,118000,2017.0,2250000.0,1000.0,Manual,0,0,0,0,1
Honda,Civic,130000,2014.0,3070000.0,1800.0,Automatic,0,0,0,0,1
Honda,Civic,79000,2016.0,3780000.0,1800.0,Automatic,0,0,0,0,1
Toyota,Corolla,155350,2011.0,2190000.0,1600.0,Automatic,0,0,0,0,1
Honda,City,81000,2014.0,2950000.0,1500.0,Manual,0,0,0,0,1
Suzuki,Cultus,47000,2005.0,630000.0,1000.0,Manual,0,0,0,0,1
Toyota,Vitz,170000,2005.0,1750000.0,1000.0,Automatic,0,0,0,0,1
Toyota,Fortuner,10500,2021.0,14200000.0,2700.0,Automatic,0,0,0,0,1
Suzuki,Mehran,1000000,1998.0,325000.0,800.0,Manual,0,0,0,0,1
Honda,Civic,150000,2010.0,21000001.0,1800.0,Automatic,0,0,0,0,1
Suzuki,Cultus,10000,2008.0,990000.0,1000.0,Manual,0,0,0,0,1
Suzuki,Alto,3200,2022.0,2530000.0,660.0,Manual,0,0,0,0,1
Hyundai,H-100,41000,2020.0,3350000.0,2600.0,Manual,1,0,0,0,0
Toyota,Corolla,120000,2014.0,3650000.0,1800.0,Automatic,0,0,0,0,1
Toyota,Prius,185690,2011.0,4200000.0,1800.0,Automatic,0,0,1,0,0
Suzuki,FX,266000,1988.0,270000.0,800.0,Manual,0,0,0,0,1
Honda,City,83652,2018.0,3150000.0,1500.0,Automatic,0,0,0,0,1
Suzuki,Alto,18000,2022.0,2390000.0,660.0,Manual,0,0,0,0,1
Honda,Fit,109000,2015.0,3495000.0,1500.0,Automatic,0,0,1,0,0
Suzuki,Mehran,42000,2018.0,1390000.0,800.0,Manual,0,0,0,0,1
Honda,Civic,89000,2018.0,4800000.0,1800.0,Automatic,0,0,0,0,1
Toyota,Passo,19290,2019.0,4095000.0,1000.0,Automatic,0,0,0,0,1
Honda,Vezel,89995,2016.0,6795000.0,1500.0,Automatic,0,0,1,0,0
Toyota,Vitz,44004,2019.0,4250000.0,996.0,Automatic,0,0,0,0,1
Toyota,Vitz,55069,2019.0,4495000.0,1000.0,Automatic,0,0,0,0,1
Honda,City,50000,2019.0,3700000.0,1300.0,Automatic,0,0,0,0,1
Toyota,Corolla,31900,2021.0,5280000.0,1600.0,Automatic,0,0,0,0,1
